MSFT Return,AAPL Return,MSFT Price,AAPL Price,MSFT Market Cap,AAPL Market Cap,Delta,Outcome
-20.0%,-20.0%,$298.49,$162.55,$2217.77B,$2444.78B,$-227.02B,AAPL > MSFT
-20.0%,-10.0%,$298.49,$182.87,$2217.77B,$2750.38B,$-532.61B,AAPL > MSFT
-20.0%,-5.0%,$298.49,$193.03,$2217.77B,$2903.18B,$-685.41B,AAPL > MSFT
-20.0%,0.0%,$298.49,$203.19,$2217.77B,$3055.98B,$-838.21B,AAPL > MSFT
-20.0%,5.0%,$298.49,$213.35,$2217.77B,$3208.78B,$-991.01B,AAPL > MSFT
-20.0%,10.0%,$298.49,$223.51,$2217.77B,$3361.58B,$-1143.81B,AAPL > MSFT
-20.0%,20.0%,$298.49,$243.83,$2217.77B,$3667.17B,$-1449.41B,AAPL > MSFT
-10.0%,-20.0%,$335.80,$162.55,$2494.99B,$2444.78B,$50.20B,MSFT > AAPL
-10.0%,-10.0%,$335.80,$182.87,$2494.99B,$2750.38B,$-255.39B,AAPL > MSFT
-10.0%,-5.0%,$335.80,$193.03,$2494.99B,$2903.18B,$-408.19B,AAPL > MSFT
-10.0%,0.0%,$335.80,$203.19,$2494.99B,$3055.98B,$-560.99B,AAPL > MSFT
-10.0%,5.0%,$335.80,$213.35,$2494.99B,$3208.78B,$-713.79B,AAPL > MSFT
-10.0%,10.0%,$335.80,$223.51,$2494.99B,$3361.58B,$-866.59B,AAPL > MSFT
-10.0%,20.0%,$335.80,$243.83,$2494.99B,$3667.17B,$-1172.19B,AAPL > MSFT
-5.0%,-20.0%,$354.45,$162.55,$2633.60B,$2444.78B,$188.81B,MSFT > AAPL
-5.0%,-10.0%,$354.45,$182.87,$2633.60B,$2750.38B,$-116.78B,AAPL > MSFT
-5.0%,-5.0%,$354.45,$193.03,$2633.60B,$2903.18B,$-269.58B,AAPL > MSFT
-5.0%,0.0%,$354.45,$203.19,$2633.60B,$3055.98B,$-422.38B,AAPL > MSFT
-5.0%,5.0%,$354.45,$213.35,$2633.60B,$3208.78B,$-575.18B,AAPL > MSFT
-5.0%,10.0%,$354.45,$223.51,$2633.60B,$3361.58B,$-727.98B,AAPL > MSFT
-5.0%,20.0%,$354.45,$243.83,$2633.60B,$3667.17B,$-1033.58B,AAPL > MSFT
0.0%,-20.0%,$373.11,$162.55,$2772.21B,$2444.78B,$327.43B,MSFT > AAPL
0.0%,-10.0%,$373.11,$182.87,$2772.21B,$2750.38B,$21.83B,MSFT > AAPL
0.0%,-5.0%,$373.11,$193.03,$2772.21B,$2903.18B,$-130.97B,AAPL > MSFT
0.0%,0.0%,$373.11,$203.19,$2772.21B,$3055.98B,$-283.77B,AAPL > MSFT
0.0%,5.0%,$373.11,$213.35,$2772.21B,$3208.78B,$-436.57B,AAPL > MSFT
0.0%,10.0%,$373.11,$223.51,$2772.21B,$3361.58B,$-589.37B,AAPL > MSFT
0.0%,20.0%,$373.11,$243.83,$2772.21B,$3667.17B,$-894.97B,AAPL > MSFT
5.0%,-20.0%,$391.77,$162.55,$2910.82B,$2444.78B,$466.04B,MSFT > AAPL
5.0%,-10.0%,$391.77,$182.87,$2910.82B,$2750.38B,$160.44B,MSFT > AAPL
5.0%,-5.0%,$391.77,$193.03,$2910.82B,$2903.18B,$7.64B,MSFT > AAPL
5.0%,0.0%,$391.77,$203.19,$2910.82B,$3055.98B,$-145.16B,AAPL > MSFT
5.0%,5.0%,$391.77,$213.35,$2910.82B,$3208.78B,$-297.96B,AAPL > MSFT
5.0%,10.0%,$391.77,$223.51,$2910.82B,$3361.58B,$-450.76B,AAPL > MSFT
5.0%,20.0%,$391.77,$243.83,$2910.82B,$3667.17B,$-756.36B,AAPL > MSFT
10.0%,-20.0%,$410.42,$162.55,$3049.43B,$2444.78B,$604.65B,MSFT > AAPL
10.0%,-10.0%,$410.42,$182.87,$3049.43B,$2750.38B,$299.05B,MSFT > AAPL
10.0%,-5.0%,$410.42,$193.03,$3049.43B,$2903.18B,$146.25B,MSFT > AAPL
10.0%,0.0%,$410.42,$203.19,$3049.43B,$3055.98B,$-6.55B,AAPL > MSFT
10.0%,5.0%,$410.42,$213.35,$3049.43B,$3208.78B,$-159.35B,AAPL > MSFT
10.0%,10.0%,$410.42,$223.51,$3049.43B,$3361.58B,$-312.15B,AAPL > MSFT
10.0%,20.0%,$410.42,$243.83,$3049.43B,$3667.17B,$-617.75B,AAPL > MSFT
20.0%,-20.0%,$447.73,$162.55,$3326.65B,$2444.78B,$881.87B,MSFT > AAPL
20.0%,-10.0%,$447.73,$182.87,$3326.65B,$2750.38B,$576.27B,MSFT > AAPL
20.0%,-5.0%,$447.73,$193.03,$3326.65B,$2903.18B,$423.47B,MSFT > AAPL
20.0%,0.0%,$447.73,$203.19,$3326.65B,$3055.98B,$270.67B,MSFT > AAPL
20.0%,5.0%,$447.73,$213.35,$3326.65B,$3208.78B,$117.87B,MSFT > AAPL
20.0%,10.0%,$447.73,$223.51,$3326.65B,$3361.58B,$-34.93B,AAPL > MSFT
20.0%,20.0%,$447.73,$243.83,$3326.65B,$3667.17B,$-340.52B,AAPL > MSFT
